뙨,6,ㄸㅚㄴ
뚜,2,ㄸㅜ
뚝,5,ㄸㅜㄱ
뚠,5,ㄸㅜㄴ
뚤,5,ㄸㅜㄹ
뚫,5,ㄸㅜㅀ
뚬,5,ㄸㅜㅁ
뚱,5,ㄸㅜㅇ
뛔,3,ㄸㅞ
뛰,3,ㄸㅟ
뛴,6,ㄸㅟㄴ
뛸,6,ㄸㅟㄹ
뜀,6,ㄸㅟㅁ
뜁,6,ㄸㅟㅂ
뜅,6,ㄸㅟㅇ
뜨,2,ㄸㅡ
뜩,5,ㄸㅡㄱ
뜬,5,ㄸㅡㄴ
뜯,5,ㄸㅡㄷ
뜰,5,ㄸㅡㄹ
뜸,5,ㄸㅡㅁ
뜹,5,ㄸㅡㅂ
뜻,5,ㄸㅡㅅ
띄,3,ㄸㅢ
띈,6,ㄸㅢㄴ
띌,6,ㄸㅢㄹ
띔,6,ㄸㅢㅁ
띕,6,ㄸㅢㅂ
띠,1,ㄸㅣ
띤,4,ㄸㅣㄴ
띨,4,ㄸㅣㄹ
띰,4,ㄸㅣㅁ
띱,4,ㄸㅣㅂ
띳,4,ㄸㅣㅅ
띵,4,ㄸㅣㅇ
라,1,ㄹㅏ
락,4,ㄹㅏㄱ
란,4,ㄹㅏㄴ
랄,4,ㄹㅏㄹ
람,4,ㄹㅏㅁ
랍,4,ㄹㅏㅂ
랏,4,ㄹㅏㅅ
랐,4,ㄹㅏㅆ
랑,4,ㄹㅏㅇ
랒,4,ㄹㅏㅈ
랖,4,ㄹㅏㅍ
랗,4,ㄹㅏㅎ
래,1,ㄹㅐ
랙,4,ㄹㅐㄱ
랜,4,ㄹㅐㄴ
랠,4,ㄹㅐㄹ
램,4,ㄹㅐㅁ
랩,4,ㄹㅐㅂ
랫,4,ㄹㅐㅅ
랬,4,ㄹㅐㅆ
랭,4,ㄹㅐㅇ
랴,1,ㄹㅑ
략,4,ㄹㅑㄱ
랸,4,ㄹㅑㄴ
럇,4,ㄹㅑㅅ
량,4,ㄹㅑㅇ
러,1,ㄹㅓ
럭,4,ㄹㅓㄱ
런,4,ㄹㅓㄴ
럴,4,ㄹㅓㄹ
럼,4,ㄹㅓㅁ
럽,4,ㄹㅓㅂ
