AccX	AccY	AccZ	Wx	Wy	Wz
-1.0088	0.60528	-9.583599	-3.80952	-21.538441	35.311321
-1.0088	0.60528	-9.583599	-3.80952	-21.538441	35.311321
-0.40352	0.20176	-10.138439	-0.14652	-3.80952	12.454201
-0.95836	1.10968	-10.340199	-21.245401	-10.10988	-30.183121
-0.95836	1.10968	-10.340199	-21.245401	-10.10988	-30.183121
-0.95836	1.10968	-10.340199	-21.245401	-10.10988	-30.183121
-0.30264	0.7566	-10.28976	9.23076	-1.02564	-49.816803
-0.30264	0.7566	-10.28976	9.23076	-1.02564	-49.816803
-0.30264	0.7566	-10.28976	9.23076	-1.02564	-49.816803
-0.85748	0.80704	-10.28976	5.1282	-21.83148	-72.820442
-0.20176	-0.55484	-10.441079	-43.956001	2.05128	-13.47984
-0.2522	0.80704	-9.533159	-5.27472	9.96336	-9.96336
-0.2522	0.80704	-9.533159	-5.27472	9.96336	-9.96336
1.41232	0.60528	-10.340199	-9.37728	-17.72892	0.14652
1.46276	0.05044	-11.651639	1.4652	20.219761	-16.26372
1.46276	0.05044	-11.651639	1.4652	20.219761	-16.26372
1.46276	0.05044	-11.651639	1.4652	20.219761	-16.26372
-0.60528	-0.7566	-10.49152	1.02564	-7.17948	2.49084
-0.30264	0.10088	-9.835799	-3.80952	-6.88644	0.29304
-0.30264	0.10088	-9.835799	-3.80952	-6.88644	0.29304
-0.30264	0.10088	-9.835799	-3.80952	-6.88644	0.29304
-0.30264	-0.10088	-10.138439	-0.43956	-5.42124	0.29304
-0.30264	-0.10088	-10.138439	-0.43956	-5.42124	0.29304
-0.35308	-0.20176	-10.138439	0	-5.71428	-0.29304
-0.35308	-0.20176	-10.138439	0	-5.71428	-0.29304
-0.35308	0	-10.188879	-0.58608	-6.88644	-0.29304
-0.30264	-0.2522	-10.28976	0.58608	-5.8608	0.29304
-0.30264	-0.2522	-10.28976	0.58608	-5.8608	0.29304
-0.35308	-0.15132	-10.087999	11.42856	-9.37728	-0.43956
-0.40352	-0.35308	-10.087999	8.0586	-6.73992	-0.43956
-0.40352	-0.35308	-10.087999	8.0586	-6.73992	-0.43956
-0.40352	-0.35308	-10.087999	8.0586	-6.73992	-0.43956
-0.35308	-0.40352	-10.138439	10.989	-4.10256	0.29304
-0.40352	-0.5044	-9.98712	-5.8608	-3.663	-0.43956
-0.40352	-0.5044	-9.98712	-5.8608	-3.663	-0.43956
-0.30264	-0.45396	-10.188879	2.63736	-4.24908	-0.87912
-0.30264	-0.45396	-10.188879	2.63736	-4.24908	-0.87912
-0.30264	-0.45396	-10.188879	2.63736	-4.24908	-0.87912
-0.30264	-0.45396	-10.188879	2.63736	-4.24908	-0.87912
-0.5044	-0.35308	-10.28976	3.80952	-5.1282	0.43956
-0.35308	-0.30264	-10.138439	4.54212	-5.56776	-0.14652
-0.35308	-0.30264	-10.138439	4.54212	-5.56776	-0.14652
-0.35308	-0.30264	-10.23932	5.8608	-3.95604	-0.58608
-0.35308	-0.30264	-10.23932	5.8608	-3.95604	-0.58608
-0.35308	-0.35308	-10.138439	6.30036	-4.24908	-0.87912
-0.35308	-0.35308	-10.138439	6.30036	-4.24908	-0.87912
-0.40352	-0.35308	-10.138439	4.68864	-3.95604	-0.58608
-0.35308	-0.30264	-10.188879	3.95604	-3.36996	-0.43956
-0.40352	-0.30264	-10.087999	4.10256	-4.98168	-0.7326
-0.40352	-0.30264	-10.087999	4.10256	-4.98168	-0.7326
-0.40352	-0.45396	-10.23932	3.80952	-5.27472	0.7326
-0.2522	-0.35308	-10.138439	5.71428	-3.36996	-0.7326
-0.2522	-0.35308	-10.138439	5.71428	-3.36996	-0.7326
-0.60528	-0.40352	-10.087999	11.721601	-4.10256	-0.14652
-0.60528	-0.40352	-10.087999	11.721601	-4.10256	-0.14652
-0.5044	-0.70616	-10.138439	6.30036	-4.10256	0.29304
-0.5044	-0.65572	-10.28976	5.1282	-5.27472	-1.02564
-0.5044	-0.65572	-10.28976	5.1282	-5.27472	-1.02564
-0.40352	-0.55484	-10.188879	4.10256	-4.3956	0.29304
-0.40352	-0.55484	-10.188879	4.10256	-4.3956	0.29304
-0.40352	-0.55484	-10.188879	4.10256	-4.3956	0.29304
-0.60528	-0.5044	-10.03756	8.7912	-4.3956	-0.29304
-0.5044	-0.70616	-10.188879	6.00732	-4.3956	-0.7326
-0.45396	-0.55484	-10.138439	3.22344	-4.98168	-1.17216
-0.45396	-0.80704	-10.188879	6.00732	-3.07692	0.87912
-0.45396	-0.80704	-10.188879	6.00732	-3.07692	0.87912
-0.45396	-0.80704	-10.188879	6.00732	-3.07692	0.87912
-0.40352	-0.70616	-10.23932	4.24908	-4.3956	0.29304
-0.45396	-0.15132	-10.23932	2.9304	-4.24908	-0.7326
-0.2522	-0.30264	-10.188879	4.98168	-4.24908	0.87912
